index,date,route_id,route_name,direction,stop_id,stop_name,ons,offs,vehicle_id
301,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211206,BROWNS MILL RD SE/GREENDALE DR SE,,,2409
302,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211225,HUTCHENS RD SE/916,,,2409
303,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211309,UNIVERSITY AVE SW/PRYOR RD SW,1,,2409
304,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211406,HARPER RD SE/BURROUGHS AVE SE,,1,2409
305,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211407,JONESBORO RD SE/MCWILLIAMS RD SE,,2,2409
306,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,901265,PEACHTREE ST/MARTIN L KING JR DR,1,,2409
307,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211650,JONESBORO RD SE/2491,,,2409
308,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212069,JONESBORO RD/RUSKIN DR,,1,2409
309,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212070,JONESBORO RD/SCOTT RD,,,2409
310,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212071,JONESBORO RD/CONLEY RD,,2,2409
311,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212072,JONESBORO RD/COLLEGE ST,,,2409
312,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212073,JONESBORO RD/ERNEST DR,,,2409
313,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102148,MITCHELL ST SW/PRYOR ST SW,,,2409
314,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102150,CAPITOL SQ SW/CAPITOL PL SW,,,2409
315,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115172,HANK AARON DR/VANIRA AVE SE,,1,2409
316,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125060,MCDONOUGH BLVD SE/MARCY ST SE,,,2409
317,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125062,MCDONOUGH BLVD SE/JONESBORO RD SE,,,2409
318,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139010,BROWNS MILL RD SE/LAQUITA DR SE,1,,2409
319,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102270,BROAD ST/ALABAMA ST (FIVE POINTS STATION),19,,2409
320,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115204,HANK AARON DR SW/LITTLE ST SE,,,2409
321,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125068,JONESBORO RD SE/BROWN AVE SE,,,2409
322,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159250,HUTCHENS RD SE/565,,,2409
323,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159254,HUTCHENS RD SE/DONNEBROOK LN SE,,,2409
324,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159272,JONESBORO RD SE/SPRINGSIDE DR SE,,,2409
325,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159274,JONESBORO RD SE/SPRINGSIDE DR,,,2409
326,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159276,JONESBORO RD SE/2961,,,2409
327,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115192,HANK AARON DR/RALPH D ABERNATHY BLVD,,1,2409
328,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125028,WEYMAN AVE SW/RIDGE AVE SW,,,2409
329,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125030,RIDGE AVE SW/PULLIAM ST,,1,2409
330,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125072,JONESBORO RD SE/MOURY AVE SE,,,2409
331,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,150069,JONESBORO RD SE/CLEVELAND AVE SE,,1,2409
332,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125244,WEYMAN AVE/HANK AARON DR,,,2409
333,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139008,JONESBORO RD SE/JORDAN ST SE,,,2409
334,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139014,BROWNS MILL RD SE/2039,,,2409
335,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115222,HANK AARON DR SW/BILL LUCAS DR SW,,,2409
336,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115176,HANK AARON DR/964,,,2409
337,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125067,JONESBORO RD SE/THIRKIELD AVE SE,,,2409
